model_key,trait,prompted_score_1,prompted_score_2,similarity_score
Gemma-7B (Hugging Face),Openness,1,1,0.9999999999999993
Gemma-7B (Hugging Face),Openness,1,2,0.6921210414600117
Gemma-7B (Hugging Face),Openness,1,3,0.7334594982952871
Gemma-7B (Hugging Face),Openness,1,4,0.6388524400630441
Gemma-7B (Hugging Face),Openness,1,5,0.6811339152167293
Gemma-7B (Hugging Face),Openness,2,1,0.6921210414600117
Gemma-7B (Hugging Face),Openness,2,2,1.0000000000000002
Gemma-7B (Hugging Face),Openness,2,3,0.6840630081445994
Gemma-7B (Hugging Face),Openness,2,4,0.6683477302362788
Gemma-7B (Hugging Face),Openness,2,5,0.5873514903149097
Gemma-7B (Hugging Face),Openness,3,1,0.7334594982952871
Gemma-7B (Hugging Face),Openness,3,2,0.6840630081445994
Gemma-7B (Hugging Face),Openness,3,3,1.0000000000000004
Gemma-7B (Hugging Face),Openness,3,4,0.7305194524680664
Gemma-7B (Hugging Face),Openness,3,5,0.7243048792760076
Gemma-7B (Hugging Face),Openness,4,1,0.6388524400630441
Gemma-7B (Hugging Face),Openness,4,2,0.6683477302362788
Gemma-7B (Hugging Face),Openness,4,3,0.7305194524680664
Gemma-7B (Hugging Face),Openness,4,4,1.0
Gemma-7B (Hugging Face),Openness,4,5,0.7921462409940428
Gemma-7B (Hugging Face),Openness,5,1,0.6811339152167293
Gemma-7B (Hugging Face),Openness,5,2,0.5873514903149097
Gemma-7B (Hugging Face),Openness,5,3,0.7243048792760076
Gemma-7B (Hugging Face),Openness,5,4,0.7921462409940428
Gemma-7B (Hugging Face),Openness,5,5,0.9999999999999997
Gemma-7B (Hugging Face),Conscientiousness,1,1,0.9999999999999996
Gemma-7B (Hugging Face),Conscientiousness,1,2,0.5795571430432584
Gemma-7B (Hugging Face),Conscientiousness,1,3,0.6769576444949738
Gemma-7B (Hugging Face),Conscientiousness,1,4,0.7049485686664186
Gemma-7B (Hugging Face),Conscientiousness,1,5,0.5856057614316427
Gemma-7B (Hugging Face),Conscientiousness,2,1,0.5795571430432584
